n=1 private=false R=1.0E12 bus=3199.9999999997963 LOAD=3199.999999999793 Pin=1.0556813403565633E-5 Pload=1.0239999999998675E-5 states=[REGULATING]
n=1 private=false R=1.0E9 bus=3199.99999979616 LOAD=3199.99999979296 Pin=0.01055670123374223 Pload=0.010239999998674944 states=[REGULATING]
n=1 private=false R=10000.0 bus=3199.979616131884 LOAD=3199.9792961339544 Pin=1056.4532190606544 Pload=1023.9867495685959 states=[REGULATING]
n=1 private=false R=320.0 bus=3199.3631287674025 LOAD=3199.353130788869 Pin=33791.194353200684 Pload=31987.06392340168 states=[REGULATING]
n=1 private=false R=100.0 bus=2359.9474753979653 LOAD=2359.9238761592037 Pin=60000.00000000004 Pload=55692.40701266281 states=[INPUT_CURRENT_OR_SAG]
n=1 private=false R=10.0 bus=744.1859272524506 LOAD=744.1115161008405 Pin=60000.00000000004 Pload=55370.194839389136 states=[OUTPUT_CURRENT]
n=1 private=true R=1.0E12 bus=3199.9999999997963 LOAD=3199.999999999793 Pin=1.0556813403565633E-5 Pload=1.0239999999998675E-5 states=[REGULATING]
n=1 private=true R=1.0E9 bus=3199.99999979616 LOAD=3199.99999979296 Pin=0.01055670123374223 Pload=0.010239999998674944 states=[REGULATING]
n=1 private=true R=10000.0 bus=3199.979616131884 LOAD=3199.9792961339544 Pin=1056.4532190606544 Pload=1023.9867495685959 states=[REGULATING]
n=1 private=true R=320.0 bus=3199.3631287674025 LOAD=3199.353130788869 Pin=33791.194353200684 Pload=31987.06392340168 states=[REGULATING]
n=1 private=true R=100.0 bus=2359.9474753979653 LOAD=2359.9238761592037 Pin=60000.00000000004 Pload=55692.40701266281 states=[INPUT_CURRENT_OR_SAG]
n=1 private=true R=10.0 bus=744.1859272524506 LOAD=744.1115161008405 Pin=60000.00000000004 Pload=55370.194839389136 states=[OUTPUT_CURRENT]
n=4 private=false R=1.0E12 bus=3199.9999999999486 LOAD=3199.9999999999454 Pin=1.055665814290409E-5 Pload=1.0239999999999651E-5 states=[REGULATING, REGULATING, REGULATING, REGULATING]
n=4 private=false R=1.0E9 bus=3199.9999999486695 LOAD=3199.9999999454694 Pin=0.010556693343540301 Pload=0.010239999999651004 states=[REGULATING, REGULATING, REGULATING, REGULATING]
n=4 private=false R=10000.0 bus=3199.99486695852 LOAD=3199.9945469590652 Pin=1055.9185619666628 Pload=1023.9965100567753 states=[REGULATING, REGULATING, REGULATING, REGULATING]
n=4 private=false R=320.0 bus=3199.839600722057 LOAD=3199.8296012545534 Pin=33235.97408189118 Pload=31996.592115827734 states=[REGULATING, REGULATING, REGULATING, REGULATING]
n=4 private=false R=100.0 bus=3199.4867824335784 LOAD=3199.4547878856997 Pin=108179.5184372659 Pload=102365.10939724729 states=[REGULATING, REGULATING, REGULATING, REGULATING]
n=4 private=false R=10.0 bus=0.0 LOAD=0.0 Pin=0.0 Pload=0.0 states=[NON_CONVERGENT, NON_CONVERGENT, NON_CONVERGENT, NON_CONVERGENT]
n=4 private=true R=1.0E12 bus=3199.9999999999486 LOAD=3199.9999999999454 Pin=1.055665814290409E-5 Pload=1.0239999999999651E-5 states=[REGULATING, REGULATING, REGULATING, REGULATING]
n=4 private=true R=1.0E9 bus=3199.9999999486695 LOAD=3199.9999999454694 Pin=0.010556693343540301 Pload=0.010239999999651004 states=[REGULATING, REGULATING, REGULATING, REGULATING]
n=4 private=true R=10000.0 bus=3199.99486695852 LOAD=3199.9945469590652 Pin=1055.9185619666628 Pload=1023.9965100567753 states=[REGULATING, REGULATING, REGULATING, REGULATING]
n=4 private=true R=320.0 bus=3199.839600722057 LOAD=3199.8296012545534 Pin=33235.97408189118 Pload=31996.592115827734 states=[REGULATING, REGULATING, REGULATING, REGULATING]
n=4 private=true R=100.0 bus=3199.4867824335784 LOAD=3199.4547878856997 Pin=108179.5184372659 Pload=102365.10939724729 states=[REGULATING, REGULATING, REGULATING, REGULATING]
n=4 private=true R=10.0 bus=0.0 LOAD=0.0 Pin=0.0 Pload=0.0 states=[NON_CONVERGENT, NON_CONVERGENT, NON_CONVERGENT, NON_CONVERGENT]
